Price,Close,High,Low,Open,Volume
Ticker,RSP,RSP,RSP,RSP,RSP
Date,,,,,
2021-01-04,117.18153381347656,119.53076192034023,116.17472888004201,119.28837966212257,3623900
2021-01-05,118.17900848388672,118.76631900185114,117.03236748547084,117.05100898987388,3296600
2021-01-06,121.00366973876953,121.7774237070762,118.71037364507649,118.72902226080312,4797800
2021-01-07,122.20623016357422,122.58844851203231,121.5909539282111,121.8426604289914,2602400
2021-01-08,122.42066192626953,122.75625165033372,121.13417775178813,122.70032002965637,1470800
2021-01-11,122.28083038330078,122.55118554215063,121.12485795438712,121.28334986114841,1723700
2021-01-12,123.24103546142578,123.37154733844947,122.21558906330472,122.42999838454483,1513300
2021-01-13,122.84015655517578,123.27830652603649,122.42065519842448,123.11982886791822,2199800
2021-01-14,123.25035095214844,123.96815907063485,123.11050767180204,123.33424838552074,1925000
2021-01-15,122.32742309570312,122.70031001961532,121.19941668007355,122.41132051987472,2199200
2021-01-19,122.91475677490234,123.2503607598232,122.50457254614052,123.19441490839719,1689700
2021-01-20,123.67918395996094,123.83766164971766,122.90542990428216,123.30629695167777,1676100
2021-01-21,123.05457305908203,123.80967839053395,122.83083235080069,123.53933748132884,2770800
2021-01-22,122.53253936767578,122.77491449360791,121.78675114785683,122.31813005532325,1547200
2021-01-25,122.42066192626953,122.82151469094099,121.0223145104334,122.12234098302292,2302800
2021-01-26,121.8147201538086,123.05459007899609,121.63759384667787,122.85881515408121,2425700
2021-01-27,119.0086898803711,120.50025191067999,118.40273791580876,120.14601357427152,3483000
2021-01-28,120.0621109008789,121.1155372432295,119.74515554600886,119.76380416239135,2472600
2021-01-29,117.92731475830078,120.12738222712854,117.30272120133083,119.75449522213161,2603600
2021-02-01,119.49343872070312,119.81972546802808,118.15103006366344,118.8968181827453,1905300
2021-02-02,121.06890869140625,121.6935021324567,120.43499805561467,120.58415851982144,2524400
2021-02-03,121.38591003417969,121.62828518346848,120.5189270554836,120.85453107550651,2945000
2021-02-04,122.93338012695312,122.95202874242034,121.5443641062496,121.65622734960135,1358100
2021-02-05,123.56729888916016,123.9681516410659,123.34355818885054,123.76305955529666,1398200
2021-02-08,125.01227569580078,125.01227569580078,123.95884933101217,124.21055587099454,908200
2021-02-09,124.96564483642578,125.23598573291818,124.4249488187161,124.80716717645095,1483700
2021-02-10,125.34786224365234,125.77668079686786,124.49952810722736,125.54362290607364,2615000
2021-02-11,125.38516235351562,125.89789262815935,124.34106741222418,125.58093726737113,2329100
2021-02-12,126.14022827148438,126.19615987944609,125.00290482718867,125.05883643515038,1676600
