Date,Open,High,Low,Close
7/12/1996 12:00:00 AM,36.64,39.19,29.57,30.65
7/19/1996 12:00:00 AM,23.56,32.48,19.73,31.25
7/26/1996 12:00:00 AM,27.66,29.49,20.88,29.49
8/2/1996 12:00:00 AM,27.38,55,27.38,55
8/9/1996 12:00:00 AM,55.4,57.63,55.4,57.03
8/16/1996 12:00:00 AM,57.83,63.29,54.28,63.29
8/23/1996 12:00:00 AM,64.41,66.68,64.33,65.44
8/30/1996 12:00:00 AM,62.53,66.4,55.4,55.4
9/6/1996 12:00:00 AM,54.92,57.43,51.18,57.43
9/13/1996 12:00:00 AM,61.38,69.55,61.38,69.55
9/20/1996 12:00:00 AM,69.51,69.51,62.57,64.21
9/27/1996 12:00:00 AM,60.5,63.21,60.5,63.21
10/4/1996 12:00:00 AM,65.05,73.22,65.05,73.22
10/11/1996 12:00:00 AM,71.26,71.26,64.05,65.36
10/18/1996 12:00:00 AM,64.41,64.41,61.54,63.01
10/25/1996 12:00:00 AM,61.54,61.54,56.4,56.4
11/1/1996 12:00:00 AM,52.97,56.2,52.97,54.8
11/8/1996 12:00:00 AM,56.4,64.57,56.4,64.57
11/15/1996 12:00:00 AM,66.4,67.88,66.4,67.68
11/22/1996 12:00:00 AM,66.68,68.19,66.68,68.19
11/29/1996 12:00:00 AM,70.35,70.86,68.11,70.86
12/6/1996 12:00:00 AM,69.7,69.99,60.95,60.95
12/13/1996 12:00:00 AM,65.61,67.08,49.03,49.03
12/20/1996 12:00:00 AM,45.42,59.31,45.42,59.31
12/27/1996 12:00:00 AM,56.22,60.82,56.22,60.82
1/3/1997 12:00:00 AM,61.48,61.48,52.49,59.47
1/10/1997 12:00:00 AM,60.1,65.75,60.1,64.67
1/17/1997 12:00:00 AM,64.87,71.97,64.87,71.97
1/24/1997 12:00:00 AM,70.89,70.89,63.31,63.31
1/31/1997 12:00:00 AM,60.03,67.09,60.03,67.09
2/7/1997 12:00:00 AM,67.42,67.42,62.87,66.12
2/14/1997 12:00:00 AM,64.97,67.92,64.08,67.41
2/21/1997 12:00:00 AM,68.25,68.25,63.46,63.46
2/28/1997 12:00:00 AM,63.8,65.1,56.26,56.26
3/7/1997 12:00:00 AM,56.79,60.05,55.87,60.05
3/14/1997 12:00:00 AM,62.11,63.33,50.41,52.32
3/21/1997 12:00:00 AM,48.31,48.31,37.98,38.91
3/27/1997 12:00:00 AM,39.26,39.26,30.64,30.64
4/4/1997 12:00:00 AM,23.71,23.71,18.3,20.47
4/11/1997 12:00:00 AM,24.27,26.68,18.31,18.31
4/18/1997 12:00:00 AM,18.19,30.42,18.19,30.42
4/25/1997 12:00:00 AM,27.51,34.05,27.51,30.75
5/2/1997 12:00:00 AM,32.09,61.76,32.09,61.76
5/9/1997 12:00:00 AM,68.92,71.12,66.3,71.12
5/16/1997 12:00:00 AM,73.96,75.43,73.39,74.03
5/23/1997 12:00:00 AM,74.91,81.77,74.91,81.77
5/30/1997 12:00:00 AM,81.73,84.01,81.38,84.01
6/6/1997 12:00:00 AM,84.41,86.76,83.47,86.76
6/13/1997 12:00:00 AM,87.15,88.77,86.66,88.77
6/20/1997 12:00:00 AM,88.2,88.2,84.21,84.21
6/27/1997 12:00:00 AM,80.68,81.62,76.91,78.19
7/3/1997 12:00:00 AM,77.32,83.13,77.32,83.13
7/11/1997 12:00:00 AM,81.43,81.71,79.88,80.6
