Symbol,Strategy Name,Name of security,Status,Action,Quantity|Face Value,Price,Timing,Fill Price,Fill Price is Average,Time and Date(ET),Last Activity Date(ET),Reinvest Capital Gains,Order Number
SQQQ,,PROSHARES ULTRAPRO SHORT QQQ ETF,Open,Sell,8 Shares,Stop market $37.95,GTC,-,No,10:00 AM 03/31/2025,10:00 AM 03/31/2025,,1003031363239
BJ,,BJS WHSL CLUB HLDGS,Open,Sell,2 Shares,Stop market $110.68,GTC,-,No,3:58 PM 03/28/2025,3:58 PM 03/28/2025,,1003028705658
LKQ,,LKQ CORP,Open,Sell,10 Shares,Stop market $40.91,GTC,-,No,3:49 PM 03/28/2025,3:49 PM 03/28/2025,,1003028705135
SQQQ,,PROSHARES ULTRAPRO SHORT QQQ ETF,Filled,Sell,2 Shares,Stop market $39.84,GTC,$39.84,No,9:59 AM 03/31/2025,11:23 AM 03/31/2025,,1003031363157
EA,,ELECTRONIC ARTS INC,Filled,Sell,2 Shares,Stop market $143.60,GTC,$143.54,No,12:16 PM 03/25/2025,9:33 AM 03/31/2025,,1003002430133
SE,,SEA LTD A ADR,Filled,Sell,1 Shares,Stop market $129.35,GTC,$127.35,No,11:08 AM 03/27/2025,9:30 AM 03/31/2025,,1003016423790
CHKP,,CHECK POINT SOFTWARE,Filled,Sell,1 Shares,Limit $227.80,Day,$227.8538,No,3:52 PM 03/28/2025,3:52 PM 03/28/2025,,1003028705324
LKQ,,LKQ CORP,Filled,Buy,10 Shares,Limit $41.64,Day,$41.64,No,3:47 PM 03/28/2025,3:48 PM 03/28/2025,,1003028705041
CHKP,,CHECK POINT SOFTWARE,Filled,Buy,1 Shares,Limit $231.29,Day,$231.29,No,10:22 AM 03/28/2025,10:26 AM 03/28/2025,,1003023686313
NFLX,,NETFLIX INC,Filled,Sell,1 Shares,Stop market $961.93,GTC,$961.44,No,10:01 AM 03/28/2025,10:12 AM 03/28/2025,,1003022898489
NFLX,,NETFLIX INC,Filled,Buy,1 Shares,Limit $972.14,Day,$972.14,No,9:58 AM 03/28/2025,9:59 AM 03/28/2025,,1003022898311
TTWO,,TAKE-TWO INTERACTIVE,Filled,Sell,1 Shares,Stop market $213.73,GTC,$213.785,No,11:08 AM 03/27/2025,3:53 PM 03/27/2025,,1003016423741
BJ,,BJS WHSL CLUB HLDGS,Filled,Buy,2 Shares,Limit $112.15,Day,$112.15,No,12:29 PM 03/27/2025,12:32 PM 03/27/2025,,1003017853388
SE,,SEA LTD A ADR,Filled,Buy,1 Shares,Limit $129.34,Day,$129.34,No,3:59 PM 03/26/2025,3:59 PM 03/26/2025,,1003013188273
PLTR,,PALANTIR TECHNOLOGIE A,Filled,Sell,3 Shares,Stop market $91.66,GTC,$91.66,No,12:32 PM 03/26/2025,1:55 PM 03/26/2025,,1003010300333
KMI,,KINDER MORGAN INC DE,Filled,Sell,8 Shares,Stop market $28.58,GTC,$28.5815,No,12:17 PM 03/25/2025,1:31 PM 03/26/2025,,1003002430158
